Zoning Authority,Project Status,Developer Name,Project Type,Project Name ,Project End Date,Escrow Agent Name ,No:of buildings,Project Status,Project Start Date,Master Project,No:of Units,No:of Villas,Area Name ,Percent Completed
Dubai Development Authority,NOT_STARTED,Union Properties (Public Joint Stock Company),buildings,Monarch,01-10-2026,Mashreq Bank (Public Joint Stock Company),1,under construction,01-04-2025,Motor City,46,0,Al Hebiah First,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Pearl House 2 by the franchise,,First Abu Dhabi Bank PJSC,1,effective,29-08-2023,Jumeirah Village Circle,202,0,Al Barsha South Fourth,
Dubai Development Authority,NOT_STARTED,Front Line Investment Management LLC,villas,Sold Without Project for Front Line Investment Management,,Abu Dhabi Commercial Bank,0,under construction,,DAMAC HILLS 2,0,0,Madinat Hind 4,
Dubai Development Authority,FINISHED,Dubai Land Residences (LLC),buildings,Ambassador Residence 3,01-07-2018,Dubai Islamic Bank (Public Joint Stock Company),0,success,01-05-2015,Dubai Land Residence Complex,0,0,Wadi Al Safa 5,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - Brookfield -1,03-08-2016,Abu Dhabi Commercial Bank,0,success,01-05-2013,DAMAC HILLS,0,0,Al Hebiah Third,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Fairmont Palm Residence,24-03-2010,#VALUE!,2,success,30-11-2006,Palm Jumeirah,570,0,Palm Jumeirah,
Dubai Development Authority,ACTIVE,Maras Real Estate (LLC),buildings,Koro One,31-01-2026,Emirates NBD Bank (P.S.C.),1,effective,23-06-2023,Jumeirah Garden City,144,0,Al Satwa,
Dubai Development Authority,ACTIVE,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",buildings,Holland Gardens,30-09-2025,First Abu Dhabi Bank PJSC,1,effective,15-09-2024,TOWN SQUARE,228,0,Al Yelayiss 2,
Licenses,FINISHED,Palm Jumeirah Company (LLC),buildings,Vista Mare Club,23-12-2015,Mashreq Bank (Public Joint Stock Company),1,success,30-12-2013,Palm Jumeirah,43,0,Palm Jumeirah,
Licenses,FINISHED,Jumeirah Village (LLC),Villa complex,Haven Villa 1,15-07-2019,Dubai Islamic Bank (Public Joint Stock Company),0,success,01-03-2017,Jumeirah Village Circle,0,16,Al Barsha South Fourth,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Dubai Waterfront Veneto,01-02-2015,Mashreq Bank (Public Joint Stock Company),0,success,15-05-2008,Veneto,0,0,Hessyan First,
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Benghatti Stars,28-01-2020,Sharjah Islamic Bank,1,success,10-06-2017,Silicon Oasis,362,0,Nadd Hessa,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Platinum 1,24-03-2013,Dubai Islamic Bank (Public Joint Stock Company),1,success,30-03-2009,Arjan,298,0,Al Barshaa South Third,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Avilon Boulevard,30-09-2025,Emirates NBD Bank (P.S.C.),1,effective,15-04-2024,Arjan,135,0,Al Barshaa South Third,
Dubai Municipality,ACTIVE,Dubai Investments Park Development Company (LLC),buildings,Verdana Residence 2,30-04-2026,Arab Bank for Investment and Foreign Trade (Public Shareholding Company),1,effective,01-10-2024,Dubai Investment Park First,239,0,Dubai Investment Park First,
Dubai Municipality,FINISHED,Nakheel Company (P.S.C.),buildings,Laguna Tower,30-08-2012,#VALUE!,1,success,04-12-2006,Jumeirah Lakes Towers,485,0,Al Thanyah Fifth,
Dubai Development Authority,ACTIVE,Damac Crescent Properties (LLC),villas,Damac Hills - Cavalli Estates,31-12-2024,First Abu Dhabi Bank PJSC,0,effective,15-07-2022,DAMAC HILLS,0,0,Al Hebiah Third,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,My love from the land,,Emirates NBD Bank (P.S.C.),1,under construction,31-10-2024,Down Town Jabal Ali,818,0,Jabal Ali Industrial Second,
Dubai Municipality,CONDITIONAL_ACTIVATING,Dubai Multi Commodities Centre,buildings,Fou du Lac,31-12-2026,Abu Dhabi Commercial Bank,1,Conditional activation,01-05-2023,Jumeirah Lakes Towers,453,0,Al Thanyah Fifth,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Sundus Orchid,31-12-2010,#VALUE!,1,success,30-10-2008,Dubai Land Residence Complex,1,0,Wadi Al Safa 5,
Licenses,FINISHED,Palm Jumeirah Company (LLC),buildings,I visit Residence,29-05-2016,Mashreq Bank (Public Joint Stock Company),1,success,30-12-2013,Palm Jumeirah,179,0,Palm Jumeirah,
Licenses,ACTIVE,Jumeirah Golf Estates LLC,Villa complex,Signature Mansions,25-05-2026,National Bank of Fujairah PJSC,0,effective,03-01-2023,Jumeirah Golf Estates,0,18,Me'Aisem First,
Dubai South,ACTIVE,Dubai Aviation City Corporation,buildings,Dear Venice 14,30-05-2026,Commercial Bank of Dubai (P.S.C.),8,effective,02-05-2024,Dubai World Central,3438,0,Madinat Al Mataar,
Dubai Municipality,FINISHED,Shoba LLC,buildings,Shoba Hartland - The Crest,31-12-2025,Dubai Islamic Bank (Public Joint Stock Company),5,success,01-11-2021,SOBHA HARTLAND,1518,0,Al Merkadh,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Elite Business Bay Residence,31-01-2021,Mashreq Bank (Public Joint Stock Company),1,success,01-03-2017,Business Bay,540,0,Business Bay,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Imperial Residence,12-06-2014,Dubai Islamic Bank (Public Joint Stock Company),3,success,04-09-2012,Jumeirah Village Triangle,539,0,Al Barsha South Fifth,
Dubai Municipality,NOT_STARTED,Emaar Development (Public Shareholding Company),buildings,Marina Cove,30-09-2029,Emirates NBD Bank (P.S.C.),1,under construction,30-10-2024,Dubai Marina,227,0,Marsa Dubai,
Licenses,PENDING,Al Farjan (LLC),buildings,Maison Canel Residences by Casa Moderna,01-06-2026,Arab Bank (P.S.C.),1,Under registration,01-06-2024,Al Furjan,40,0,Jabal Ali First,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),villas,Arabian Ranches? The Forada 3,29-05-2008,Mashreq Bank (Public Joint Stock Company),0,success,29-05-2007,Arabian Ranches - 1,0,61,Wadi Al Safa 6,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),villas,Emirates Hills,28-08-2000,#VALUE!,2,success,01-01-1998,Emirates Hills,0,26,Al Thanayah Fourth,
Dubai Development Authority,PENDING,DHAM Free Zone LLC,buildings,Rural 996,30-09-2028,First Abu Dhabi Bank PJSC,0,Under registration,01-10-2025,International Media Production Zone,0,0,Me'Aisem First,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,08 Live Residences,31-05-2026,Emirates NBD Bank (P.S.C.),1,effective,05-10-2024,International City Phase 3,107,0,Warsan Fourth,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),villas,Arabian Ranches? La Venida 1,04-01-2009,Mashreq Bank (Public Joint Stock Company),0,success,04-01-2008,Arabian Ranches - 1,0,0,Wadi Al Safa 6,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Park Lane Tower,08-03-2016,Noor Bank (Public Shareholding Company),1,success,02-09-2007,Business Bay,604,0,Business Bay,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Riviera 13,30-04-2022,Abu Dhabi Commercial Bank,1,success,01-10-2017,Meydan One Community,234,0,Al Merkadh,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Lilac Park,17-05-2015,Dubai Islamic Bank (Public Joint Stock Company),0,success,25-06-2013,Jumeirah Village Circle,0,17,Al Barsha South Fourth,
Dubai Municipality,FINISHED,Medan City Foundation,villas,Millennium Real Estate,06-03-2016,Bank of Sharjah,0,success,01-03-2013,Meydan Racecourse Community,0,1,Nad Al Shiba First,
Dubai South,FINISHED,Dubai Aviation City Corporation,Villa complex,Pulse Villas 2,31-01-2024,Dubai Islamic Bank (Public Joint Stock Company),0,success,31-01-2022,Dubai South Residential District,0,74,Madinat Al Mataar,
Dubai Development Authority,NOT_STARTED,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Riviera,30-11-2028,Emirates NBD Bank (P.S.C.),0,under construction,23-10-2024,,0,378,Al Yufrah 1,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Edgewater Residences,,Abu Dhabi Commercial Bank,1,effective,30-04-2024,Palm Deira,79,0,Palm Deira,
Licenses,NOT_STARTED,Dubai Maritime City LLC,buildings,Breeze from Danube,30-06-2029,First Abu Dhabi Bank PJSC,1,under construction,01-01-2026,Dubai Maritime City,1200,0,Madinat Dubai Almelaheyah,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,The Eastcrest by Meteora,13-03-2025,Abu Dhabi Commercial Bank,1,effective,13-03-2023,Jumeirah Village Circle,121,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,D1,08-06-2015,Emirates NBD Bank (P.S.C.),1,success,01-11-2006,Jaddaf Waterfront,523,0,Al Jadaf,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,Bliss Tower,15-12-2026,National Bank of Fujairah PJSC,1,effective,15-08-2024,Dubai Land Residence Complex,131,0,Wadi Al Safa 5,
Licenses,ACTIVE,Nakheel Company (P.S.C.),villas,Sunrise Living in Jumeirah Park,15-07-2025,Emirates NBD Bank (P.S.C.),0,effective,15-01-2024,Jumeirah Park,0,0,Al Thanyah Fifth,
Dubai Municipality,FINISHED,Devco Real Estate Development LLC,buildings,Five Lax,02-06-2023,Commercial Bank of Dubai (P.S.C.),1,success,02-09-2021,,459,0,Marsa Dubai,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),buildings,Damac Hills - Carson,29-03-2022,Abu Dhabi Commercial Bank,4,success,01-03-2015,DAMAC HILLS,1575,0,Al Hebiah Third,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Beverly Residence,31-05-2020,Mashreq Bank (Public Joint Stock Company),1,success,01-06-2017,Jumeirah Village Circle,195,0,Al Barsha South Fourth,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,buildings,Dear Venice 15,30-05-2027,Abu Dhabi Commercial Bank,2,under construction,02-05-2025,Dubai World Central,1855,0,Madinat Al Mataar,
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,villas,Palm Hills,31-10-2024,Emirates Islamic Bank Public Joint Stock Company,0,success,15-08-2021,DUBAI HILLS - PALM HILLS,0,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,City View Dubai Hills Residences,31-03-2027,United Bank Limited (Management Office),1,effective,01-09-2024,Dubai Hills Estate,246,0,Hadaeq Sheikh Mohammed Bin Rashid,
Licenses,ACTIVE,Nakheel Company (P.S.C.),villas,C Palm Jebel Ali - The Palm,17-01-2028,Emirates NBD Bank (P.S.C.),0,effective,14-01-2025,Palm Jabal Ali,0,0,Palm Jabal Ali,
Dubai Development Authority,FINISHED,Dubai Land Residences (LLC),buildings,The most beautiful Sarah,11-10-2015,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-04-2008,Dubai Land Residence Complex,301,0,Wadi Al Safa 5,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Hadley Heights,30-11-2025,Abu Dhabi Commercial Bank,1,effective,01-05-2023,Jumeirah Village Circle,219,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,G8,01-09-2016,Noor Bank (Public Shareholding Company),1,success,01-05-2015,Sufouh Gardens,92,0,Al Safouh First,
Dubai Municipality,NOT_STARTED,Emaar Development (Public Shareholding Company),villas,The Oasis - Palace Villa - Ostra,30-09-2029,First Abu Dhabi Bank PJSC,0,under construction,05-08-2025,,0,0,Me'Aisem Second,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Samana Mykonos Signature,30-04-2026,Emirates NBD Bank (P.S.C.),1,effective,01-10-2023,Arjan,300,0,Al Barshaa South Third,
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,The S Tower,30-06-2025,Mashreq Bank (Public Joint Stock Company),1,success,05-05-2021,Site A,95,0,Al Safouh Second,
Dubai Development Authority,NOT_STARTED,Union Properties (Public Joint Stock Company),buildings,Ananda Residences,31-05-2028,First Abu Dhabi Bank PJSC,2,under construction,01-02-2025,Motor City,1027,0,Al Hebiah First,
Licenses,NOT_STARTED,Jumeirah Village (LLC),buildings,77 Boulevard by Pam,10-09-2026,United Bank Limited (Management Office),1,under construction,10-01-2025,Jumeirah Village Circle,58,0,Al Barsha South Fourth,
Licenses,FINISHED,Palm Jumeirah Company (LLC),villas,Ocean Breeze,12-02-2018,Commercial Bank of Dubai (P.S.C.),0,success,06-03-2014,Palm Jumeirah,0,0,Palm Jumeirah,
Dubai Development Authority,NOT_STARTED,Dubai Land Residences (LLC),buildings,Fiona from Goth,31-12-2027,Mashreq Bank (Public Joint Stock Company),1,under construction,01-11-2025,Dubai Land Residence Complex,84,0,Wadi Al Safa 5,
Dubai Development Authority,ACTIVE,Dubai Properties (LLC),Villa complex,Cities of Hymns 6,30-07-2026,Emirates NBD Bank (P.S.C.),0,effective,20-07-2023,Mudon,0,242,Al Hebiah Sixth,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Omoria Hotel Residences,31-07-2028,Sharjah Islamic Bank,1,under construction,01-01-2025,Palm Deira,57,0,Palm Deira,
Dubai South,ACTIVE,Dubai Aviation City Corporation,Villa complex,South Bay 6 Premium,,Dubai Islamic Bank (Public Joint Stock Company),0,effective,30-07-2024,Dubai South Residential District,0,189,Madinat Al Mataar,
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,West Bay Tower,07-02-2024,Emirates Islamic Bank Public Joint Stock Company,1,effective,01-01-2016,Business Bay,253,0,Business Bay,
Dubai Development Authority,ACTIVE,Maras Real Estate (LLC),buildings,Thame,,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-08-2023,City Walk,148,0,Al Wasl,
Dubai Development Authority,FINISHED,Maras Real Estate (LLC),buildings,Icon City,30-08-2023,Emirates NBD Bank (P.S.C.),1,success,01-07-2016,,1224,0,Business Bay,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Marina Pinnacle,19-07-2011,Dubai Islamic Bank (Public Joint Stock Company),1,success,08-05-2005,Dubai Marina,772,0,Marsa Dubai,
Dubai Municipality,FINISHED,Shoba LLC,villas,Shoba Hartland Villa Face II,31-12-2021,Dubai Islamic Bank (Public Joint Stock Company),0,success,20-01-2018,SOBHA HARTLAND,0,0,Al Merkadh,
Dubai Development Authority,FINISHED,Dubai Land Residences (LLC),buildings,Time 1,31-12-2022,Dubai Islamic Bank (Public Joint Stock Company),1,success,30-11-2017,Dubai Land Residence Complex,286,0,Wadi Al Safa 5,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),buildings,Damac Hills - Golf Terrace,31-12-2016,Abu Dhabi Commercial Bank,2,success,01-08-2013,DAMAC HILLS,151,0,Al Hebiah Third,
Dubai Development Authority,FINISHED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",Villa complex,Maha Townhouse,31-08-2025,First Abu Dhabi Bank PJSC,0,success,01-03-2023,TOWN SQUARE,0,500,Al Yelayiss 2,
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,buildings,Ellington House,28-02-2025,Abu Dhabi Commercial Bank,1,success,07-07-2022,Dubai Hills Estate,150,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Sunrise Boulevard 10,12-07-2010,#VALUE!,0,success,01-05-2009,Liwan1,0,6,Wadi Al Safa 2,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,2 Canal Residence West,18-03-2020,Dubai Islamic Bank (Public Joint Stock Company),2,success,10-09-2017,Dubai Sports City,400,0,Al Hebiah Fourth,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Dubai Marina Mall,01-12-2009,#VALUE!,3,success,01-03-2006,Dubai Marina,452,0,Marsa Dubai,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,Samana Ivy Gard Nz,,Emirates NBD Bank (P.S.C.),1,effective,30-11-2023,Dubai Land Residence Complex,352,0,Wadi Al Safa 5,
Licenses,FINISHED,Nakheel Company (P.S.C.),Villa complex,Artistic Villa,06-03-2017,Dubai Islamic Bank (Public Joint Stock Company),0,success,19-03-2014,Jumeirah Village Circle,0,12,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Dubai Land (LLC),Villa complex,Janan from Dar 1,28-11-2027,First Abu Dhabi Bank PJSC,0,effective,30-04-2024,,0,462,Wadi Al Safa 5,
Dubai Development Authority,PENDING,Ramram LLC,buildings,Sunrise Boulevard 5,12-07-2010,#VALUE!,0,Under registration,01-05-2009,Liwan1,0,6,Wadi Al Safa 2,
Dubai Development Authority,NOT_STARTED,Dubai Properties (LLC),buildings,Weybridge Gardens 5,15-09-2027,Abu Dhabi Commercial Bank,1,under construction,01-09-2025,Dubai Land Residence Complex,168,0,Wadi Al Safa 5,
Dubai Development Authority,NOT_STARTED,Maras Real Estate (LLC),buildings,Jumeirah Asora Bay,31-03-2029,Abu Dhabi Commercial Bank,2,under construction,01-05-2025,LA MER,30,0,Jumeirah First,
Dubai Municipality,FINISHED,First District - Free Zone,buildings,"Mohammed Bin Rashid Al Maktoum City, District One, Phase Three, Residences 1",31-01-2022,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-12-2017,Mohammed Bin Rashid AL Maktoum City -District -1 Community,31,0,Al Merkadh,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,"Mohammed Bin Rashid Al Maktoum City, District 1, Phase 3, Residences 22",30-06-2023,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-06-2021,Mohammed Bin Rashid AL Maktoum City -District -1 Community,31,0,Al Merkadh,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,One of the Residences,30-06-2023,Commercial Bank of Dubai (P.S.C.),1,success,12-02-2018,Business Bay,350,0,Business Bay,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Las Kisses,27-02-2012,#VALUE!,0,success,10-09-2008,Jumeirah Village Circle,0,26,Al Barsha South Fourth,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Volga Tower,,Abu Dhabi Commercial Bank,1,effective,01-09-2023,Jumeirah Village Triangle,391,0,Al Barsha South Fifth,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Rosemont Residences,,Abu Dhabi Commercial Bank,1,effective,14-03-2024,Jumeirah Village Triangle,49,0,Al Barsha South Fifth,
Dubai Municipality,ACTIVE,Dubai Multi Commodities Centre,buildings,Signature Lifestyle Residences,31-12-2028,National Bank of Fujairah PJSC,1,effective,01-10-2024,DMCC-EZ1,187,0,Al Thanyah Fifth,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,Samana Ivy Gardens 2,31-12-2027,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-07-2024,Dubai Land Residence Complex,836,0,Wadi Al Safa 5,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Dammam Hills - Trinity,12-11-2018,Abu Dhabi Commercial Bank,0,success,01-11-2014,DAMAC HILLS,0,0,Al Hebiah Third,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damak Hills - Topang,27-06-2018,Abu Dhabi Commercial Bank,0,success,01-11-2014,DAMAC HILLS,0,0,Al Hebiah Third,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Hamilton House,30-01-2025,Abu Dhabi Commercial Bank,1,success,12-12-2022,Jumeirah Village Circle,102,0,Al Barsha South Fourth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Pearl House 1 franchise,,First Abu Dhabi Bank PJSC,1,success,04-05-2023,Jumeirah Village Circle,185,0,Al Barsha South Fourth,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Oceana Hotel & Apartments,28-02-2018,Emirates NBD Bank (P.S.C.),2,success,13-04-2015,Palm Jumeirah,289,0,Palm Jumeirah,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Wistar Casablanca,27-07-2015,Mashreq Bank (Public Joint Stock Company),0,success,03-07-2013,Jumeirah Village Circle,0,13,Al Barsha South Fourth,
Licenses,ACTIVE,Palm Jumeirah Company (LLC),buildings,Vitalia from Pinnacle,30-06-2026,Mashreq Bank (Public Joint Stock Company),1,effective,01-07-2024,Palm Jumeirah,45,0,Palm Jumeirah,
Dubai Municipality,ACTIVE,Dubai Multi Commodities Centre,buildings,Spa 4,01-06-2027,Emirates NBD Bank (P.S.C.),1,effective,01-02-2024,Jumeirah Lakes Towers,547,0,Al Thanyah Fifth,
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,Vida Residences Dubai Hills Estate,30-11-2027,Emirates NBD Bank (P.S.C.),1,effective,23-01-2024,Dubai Hills Estate,217,0,Hadaeq Sheikh Mohammed Bin Rashid,
Licenses,ACTIVE,Al Farjan (LLC),buildings,Amalia Residences,31-01-2025,Dubai Islamic Bank (Public Joint Stock Company),1,effective,31-03-2023,Al Furjan,98,0,Jabal Ali First,
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,Smart Heights,07-12-2010,Abu Dhabi Commercial Bank,1,success,01-02-2007,Barsha Heights,205,0,Al Thanyah First,
Dubai Development Authority,PENDING,Dubai Properties (LLC),buildings,Form 2,25-06-2027,First Abu Dhabi Bank PJSC,1,Under registration,25-07-2025,Majan,77,0,Wadi Al Safa 3,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Benghazi Grove,31-03-2026,Arab United Bank,1,effective,01-10-2024,Jumeirah Village Circle,404,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Nashmi Development LLC,Villa complex,Noor Townhouse,30-06-2020,Dubai Islamic Bank (Public Joint Stock Company),0,success,20-04-2017,TOWN SQUARE,0,764,Al Yelayiss 2,
Dubai Development Authority,FINISHED,Damac Properties (LLC),buildings,Park Towers,28-06-2011,Abu Dhabi Commercial Bank,0,success,29-10-2006,,0,0,Zaabeel Second,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Benghatti Lavender,29-10-2024,Sharjah Islamic Bank,1,success,15-11-2023,Jumeirah Village Circle,166,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Venera,30-09-2028,Emirates NBD Bank (P.S.C.),0,effective,23-09-2024,,0,696,Al Yufrah 1,
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Peninsula Four,01-02-2026,Emirates NBD Bank (P.S.C.),6,effective,01-10-2022,Business Bay,1040,0,Business Bay,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Cello Residences,,Emirates NBD Bank (P.S.C.),2,effective,01-02-2024,Jumeirah Village Circle,392,0,Al Barsha South Fourth,
Dubai Development Authority,NOT_STARTED,Liwan (LLC),buildings,Divine Prairie,31-03-2028,Abu Dhabi Commercial Bank,1,under construction,01-11-2025,Majan,291,0,Wadi Al Safa 3,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Tanaro,01-09-2010,#VALUE!,1,success,01-05-2007,The Greens,249,0,Al Thanyah Third,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - Whitefield,24-05-2016,Abu Dhabi Commercial Bank,0,success,01-05-2013,DAMAC HILLS,0,0,Al Hebiah Third,
Dubai Development Authority,NOT_STARTED,Maras Real Estate (LLC),buildings,City Walk Crystal 2,10-12-2028,Abu Dhabi Commercial Bank,2,under construction,16-04-2025,City Walk,203,0,Al Wasl,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Hamilton Residence,20-05-2010,#VALUE!,1,success,04-12-2007,Business Bay,183,0,Business Bay,
Dubai Development Authority,NOT_STARTED,Maras Real Estate (LLC),buildings,Philia West,01-11-2027,Emirates Islamic Bank Public Joint Stock Company,1,under construction,01-08-2025,Jumeirah Garden City,229,0,Al Satwa,
Dubai Development Authority,ACTIVE,Front Line Investment Management LLC,villas,Damac Hills (2) - Violet 2,27-02-2027,Dubai Islamic Bank (Public Joint Stock Company),0,effective,18-10-2024,DAMAC HILLS 2,0,0,Madinat Hind 4,
Dubai Development Authority,NOT_STARTED,Business Bay (LLC),buildings,Elir,15-04-2029,First Abu Dhabi Bank PJSC,1,under construction,15-04-2025,Business Bay,101,0,Business Bay,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R002,18-02-2014,Mashreq Bank (Public Joint Stock Company),1,success,27-10-2008,Liwan1,78,0,Wadi Al Safa 2,
Dubai Municipality,PENDING,Midan Group (LLC),buildings,Flamingo Lux Residence,05-05-2025,First Abu Dhabi Bank PJSC,0,Under registration,09-09-2023,Meydan Racecourse Community,0,0,Nad Al Shiba First,
Dubai Development Authority,NOT_STARTED,Dubai Land (LLC),buildings,California Residences,01-04-2028,Mashreq Bank (Public Joint Stock Company),1,under construction,01-06-2025,,375,0,Wadi Al Safa 4,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Garden Arena,26-04-2026,United Bank Limited (Management Office),1,effective,18-12-2024,Arjan,17,0,Al Barshaa South Third,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Seaside by Prestige,25-12-2026,Abu Dhabi Commercial Bank,1,effective,25-07-2024,Palm Deira,121,0,Palm Deira,
Dubai Development Authority,NOT_STARTED,DHRA2 BTS LLC,villas,The Acres,,Dubai Islamic Bank (Public Joint Stock Company),0,under construction,10-09-2024,,0,0,Wadi Al Safa 7,
Dubai Municipality,NOT_STARTED,Midan Group (LLC),buildings,Feder Residences,31-03-2028,National Bank of Fujairah PJSC,1,under construction,15-10-2025,Meydan Racecourse Community,46,0,Nad Al Shiba First,
Dubai Development Authority,ACTIVE,Front Line Investment Management LLC,villas,Damac Hills (2) - Violet 4,30-08-2027,Dubai Islamic Bank (Public Joint Stock Company),0,effective,09-12-2024,DAMAC HILLS 2,0,0,Madinat Hind 4,
Dubai Development Authority,ACTIVE,DHAM Free Zone LLC,buildings,Sky Hills Astra,30-06-2028,Sharjah Islamic Bank,3,effective,31-01-2025,Dubai Science Park,1700,0,Al Barshaa South Second,
Licenses,PENDING,Nakheel Company (P.S.C.),buildings,Ocean Crest Bay SD,30-06-2028,Abu Dhabi Commercial Bank,1,Under registration,01-09-2025,Palm Deira,56,0,Palm Deira,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Dear Alexander,17-06-2027,Ajman Bank PJSC,1,under construction,17-06-2025,Al Furjan,226,0,Jabal Ali First,
Dubai Municipality,FINISHED,Nakheel Company (P.S.C.),buildings,The Sword II,06-11-2008,#VALUE!,1,success,11-06-2005,Jumeirah Lakes Towers,229,0,Al Thanyah Fifth,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,Hub Canal 1 Tower,19-09-2011,#VALUE!,1,success,17-06-2007,Dubai Sports City,210,0,Al Hebiah Fourth,
Dubai Municipality,ACTIVE,Midan Group (LLC),buildings,Azizi Tower,30-08-2030,Abu Dhabi Commercial Bank,1,effective,21-08-2024,,1080,0,Trade Center First,
Dubai Municipality,FINISHED,Dubai Investments Park Development Company (LLC),buildings,Dune Village,10-05-2009,Emirates Islamic Bank Public Joint Stock Company,10,success,04-09-2008,Dubai Investment Park Second,246,0,Dubai Investment Park Second,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),Villa complex,Larosa 6,01-12-2024,Abu Dhabi Commercial Bank,0,success,06-12-2021,,0,272,Wadi Al Safa 5,
